migpuma_name,net migration,median_real_wage,n_out,n_in,top_place_population,proportion_in_named_place
Acadiana Regional Development District 5,119,25327.21794871795,3126,3245,180050,1
Alamo Area COG,119,30650.478723404256,1869,1988,131533,1
"Lawrence, Giles, Wayne, Lewis & Perry Counties",117,19033.666666666668,1329,1446,NA,NA
Ark-Tex COG (West),116,21358.884615384588,3343,3459,NA,NA
Tuscarawas & Harrison Counties,116,28821.222222222223,2044,2160,NA,NA
South Maine,115,27117.948717948704,9115,9230,173683,0.3378402561379348
Georgia Mountains Regional Commission,114,23565.722222222223,1441,1555,127543,1
Story & Boone Counties,113,34263.06122448979,1754,1867,115848,1
"Skagit, Island & San Juan Counties",113,29253.590909090908,5267,5380,211176,1
Golden Crescent Regional Planning Commission,112,35284.5,2240,2352,276388,1
Peoria County,111,22453.636363636364,3853,3964,186494,1
Chemung,107,27058.166666666668,3135,3242,104870,0.5086751744978488
Centre County,106,29498.874999999996,1444,1550,153990,1
Oakland County,105,31239.583333333332,18534,18639,1202362,1
Acadiana Regional Development District 2,104,29070.53846153846,2005,2109,119772,1
Charles County,104,38639.59615384615,2493,2597,146551,1
"Ionia, Montcalm, Mecosta & Osceola Counties",102,25759.25,2956,3058,193573,1
Deep East Texas COG (Central)--Angelina & Nacogdoches Counties,100,22768.69230769231,3290,3390,NA,NA
St. Lawrence County,99,18320.999999999993,1781,1880,NA,NA
Windham County,99,39597.46808510638,2160,2259,118428,1
"Wapello, Mahaska, Washington, Jefferson, Keokuk, Davis & Van Buren Counties",98,30331.42857142863,2271,2369,123387,1
Jefferson County,97,23241.49999999997,13969,14066,455535,0.6918124853826925
"East Central Region--Lauderdale, Newton & Clarke Counties--Meridian City",97,30470.965517241377,1758,1855,NA,NA
"Bremer, Winneshiek, Fayette, Clayton, Allamakee, Chickasaw & Howard Counties",96,27070.499999999993,1585,1681,120676,1
Southwest Georgia Regional Commission,96,22747.418181818182,3098,3194,122863,1
"Jackson, Hocking, Pike & Vinton Counties",95,21193.031249999996,1714,1809,104749,1
Sarpy County,94,37870.68,3829,3923,158840,1
"Coffee, Covington, Butler & Crenshaw Counties",90,25000.81818181818,2112,2202,NA,NA
Hampden County,89,26787.999999999967,10571,10660,427628,0.617119470316419
"Grant, Miami & Wabash Counties",88,22206.88235294117,2951,3039,NA,NA
"Knox, Stark, Bureau, Marshall & Woodford Counties",87,32031.459459459456,1739,1826,151201,1
Georgia Mountains Regional Commission,87,25337.19512195123,3268,3355,179684,1
"Winona, Wabasha, Fillmore & Houston Counties",86,44413.7142857143,1465,1551,226060,1
North Central & Northwest Nebraska,85,28144.44943820223,2012,2097,NA,NA
"Maury, Bedford & Marshall Counties",85,18131.571428571428,3545,3630,156631,1
"Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties",84,23135.964912280702,3153,3237,154757,1
Vigo County,84,20076.000000000004,2076,2160,107848,1
Broome County,83,25032.5,5302,5385,127478,0.3640335596918174
Hamilton County,82,20628.692307692287,20309,20391,468010,0.5832816118169333
"Walla Walla, Benton",82,31579.69811320757,6338,6420,204662,0.4938135176087943
"Queen Anne's, Talbot, Caroline, Dorchester & Kent Counties",81,27678.80952380952,2878,2959,171461,1
Heart of Texas COG,81,23409.695652173912,5965,6046,234906,1
"Defiance, Williams, Henry & Paulding Counties",80,26398.385964912275,2207,2287,NA,NA
Mercer County,80,35165.810810810806,1417,1497,116638,1
"Warrick, Gibson & Posey Counties",80,29116.000000000007,1868,1948,119102,1
Columbiana County,77,26276.605633802817,2676,2753,NA,NA
"Beltrami, Becker, Hubbard, Clearwater, Mahnomen & Lake of the Woods Counties",76,12011.533333333335,1298,1374,NA,NA
Southwest & South Central Utah,75,22196.090909090904,2115,2190,140796,1
"Douglas, Edgar, Coles & Cumberland Counties",74,22160,2133,2207,NA,NA
"Livingston, Ford, Iroquois & Vermilion Counties",74,27944.222222222244,3514,3588,328748,1
"Lawrence, Henry, Vernon, Cedar, Barton, St. Clair & Dade Counties",72,23108.383838383837,2643,2715,NA,NA
Ontario & Yates Counties,71,25605.714285714283,2098,2169,133279,1
Brunswick County,71,20656.711111111104,2387,2458,107431,1
Davis County,71,35839.53333333333,4920,4991,306479,1
Litchfield County,70,35605.563829787236,2741,2811,NA,NA
"Laclede, Polk, Benton, Dallas & Hickory Counties",69,33673.882978723406,2252,2321,112168,1
Northeast Maine--Aroostook & Washington Counties,67,18746.7,1456,1523,NA,NA
Wyandotte County,65,18183.96296296297,4325,4390,157505,1
Monmouth County,65,32541.52830188679,6532,6597,630380,1
"Sioux, Clay, Dickinson, O'Brien, Lyon, Emmet, Palo Alto & Osceola Counties",63,32505.325581395344,2475,2538,NA,NA
Hunt & Rockwall Counties,63,40618.72093023257,2953,3016,164466,1
Green River Area Development District,61,24760.844155844152,2118,2179,105221,1
"Buchanan, Andrew & DeKalb Counties",60,22867.629629629628,2217,2277,119384,1
Houston-Galveston Area Council,60,28747.352000000003,2565,2625,170478,1
Green River Area Development District,59,23584.48148148148,2176,2235,216502,1
Regional Planning Commission 1,59,26369.58928571429,4120,4179,120069,0.5136861470009412
"Pike, Wayne & Susquehanna Counties",57,30120.586206896533,1993,2050,153547,1
Mount Rogers Planning District Commission,57,15946.875000000013,2619,2676,193595,1
Western Upper Peninsula,56,21274.905172413797,1947,2003,NA,NA
West Central Wisconsin,56,27400,3787,3843,202430,1
"La Plata, Montezuma, Gunnison, Archuleta, Dolores, Hinsdale & San Juan Counties",56,25227.661016949154,2010,2066,NA,NA
"Tuscola, Sanilac & Huron Counties",56,19547.157894736847,2232,2288,NA,NA
"Grant, Green, Iowa, Richland & Lafayette Counties",53,29309.166666666668,2096,2149,146594,1
East Texas COG,53,26801.52777777779,1863,1916,115486,1
South & West Albemarle Sound & Northern Outer Banks Regions,50,29887.060975609755,1563,1613,NA,NA
Linn County,48,33065,3678,3726,211226,1
"Greenwood, Abbeville & McCormick Counties",48,21812.352941176476,1898,1946,NA,NA
"Logan, Polk, Franklin, Sevier, Howard & Scott Counties",47,23475.2,1577,1624,NA,NA
Woodbury & Plymouth Counties,47,29673.609890109892,2652,2699,127158,1
Hancock & Putnam Counties,47,31065.574468085117,2308,2355,NA,NA
Black Hawk County,46,37989.88079470199,2655,2701,131090,1
Waukesha County,46,37850.000000000015,5761,5807,389891,1
"Hamblen, Cocke & Grainger Counties",45,24982.533333333336,1878,1923,241726,1
Lake County,44,26051.117647058825,10388,10432,496005,1
Southern Georgia Regional Commission,44,28337.52173913043,1851,1895,128961,1
Citrus County,43,18338.444444444445,2543,2586,141236,1
Monterey County,42,29232.666666666668,6195,6237,338170,0.5612947772713541
Erie County,40,19401.638297872327,4765,4805,171457,0.6111111111111112
"Jo Daviess, Carroll, Whiteside & Lee Counties",40,26074.956521739132,2528,2568,NA,NA
Monroe County,39,18021.403669724772,2372,2411,137974,1
Heart of Georgia Altamaha Regional Commission (North & West),38,21984.785714285717,2049,2087,NA,NA
Stephenson & Ogle Counties,38,28793.739130434784,2358,2396,NA,NA
Northwest Kansas,37,29537.671641791047,2202,2239,NA,NA
"Clearfield, McKean, Elk, Potter & Cameron Counties",37,26671.760869565216,2321,2358,NA,NA
"Montgomery, Clinton, White, Carroll & Benton Counties",37,36452.260869565216,2737,2774,125000,1
South Central Arkansas,35,20134.33333333334,1711,1746,NA,NA
Bonneville County,33,34257.38461538462,2111,2144,104234,1
Ventura County,33,32740.244897959183,12437,12470,823318,1
Southwest Georgia Regional Commission,32,17197.89830508475,2153,2185,111897,1
Hamilton County,32,24702.999999999996,7033,7065,222196,0.6603876206299059
Genesee,30,21721.777777777777,12389,12419,561558,0.727329480547403
Wayne County,30,23250.899999999998,2070,2100,NA,NA
Moore & Montgomery Counties,30,22922.581395348847,1442,1472,NA,NA
Purchase Area Development District,29,21360.32352941177,2883,2912,NA,NA
Bay & Midland Counties,29,29396.714285714286,2774,2803,382800,1
Southeast South Dakota,28,30805.024390243932,6973,7001,247834,0.6151574045805316
Androscoggin County,28,33461.444444444445,2358,2386,107702,1
Collier County,27,31436.555555555555,5874,5901,321520,1
"Newaygo, Mason, Oceana & Lake Counties",26,22996.66666666667,2287,2313,NA,NA
Salt Lake County,26,33890.588235294126,21123,21149,1029655,1
Central Nebraska,25,24844.31250000001,2170,2195,106716,1
"Pope, Johnson, Yell, Conway & Perry Counties",24,27755.600000000002,2608,2632,141197,1
Henderson & Transylvania Counties,24,17585.606557377047,2643,2667,139830,1
Santa Cruz County,24,32213.166666666664,2898,2922,262382,1
Yakima County,24,25006.678899082573,5427,5451,243231,1
Humboldt County,23,23474.45945945946,2676,2699,NA,NA
New Haven County,22,23547.483870967746,12803,12825,133419,0.15469282079406174
South Central Montana,19,25744.186046511626,2272,2291,127995,1
"St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties",19,21881.647058823524,2291,2310,111041,1
"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",19,17549.27999999999,2965,2984,NA,NA
"Venango, Jefferson, Clarion & Forest Counties",19,26937.500000000004,1817,1836,NA,NA
Southwestern New Hampshire--Cheshire & Sullivan Counties,18,30621.304347826088,2204,2222,NA,NA
"Lewis, Klickitat & Skamania Counties",18,25770.38235294118,2138,2156,106839,1
Tulare County,16,27000.576923076922,7662,7678,442179,1
Carroll County,14,45435.902439024394,1555,1569,167134,1
"Bradford, Tioga & Sullivan Counties",14,35249.736842105274,1205,1219,NA,NA
Southern Georgia Regional Commission,13,25143.405797101455,2878,2891,109233,1
Olmsted County,13,29538.880597014926,2671,2684,144248,1
West Central Texas COG,12,27629.079999999998,4136,4148,131506,1
Lycoming & Clinton Counties,11,22464.19672131151,2820,2831,155349,1
St. Joseph & Branch Counties,11,25840.777777777785,2049,2060,NA,NA
Berkshire County,10,20082.277777777777,1731,1741,131219,1
Northwest Missouri,8,24239.8,1857,1865,NA,NA
Concho Valley COG & Permian Basin Regional Planning Commission,8,28844.26446280992,2042,2050,205668,1
Scott County,7,31473.25581395349,3197,3204,115560,0.5229669185862335
"Cape Girardeau, Scott & Bollinger Counties",6,17514.345794392524,2467,2473,127228,1
"Rice, Goodhue & Le Sueur Counties",6,32651.610169491527,2714,2720,138028,1
East Texas COG (Southwest)--Henderson & Anderson Counties,5,29899.41176470588,1989,1994,NA,NA
Burke & McDowell Counties,5,36028.42372881356,1576,1581,135908,1
"Howell, Texas, Wright, Douglas, Oregon, Ozark & Shannon Counties",5,17420.011235955055,2123,2128,NA,NA
Imperial Calcasieu Regional Planning & Development District 2,4,24841.58666666667,6485,6489,147781,0.5050287233569932
Stearns County,3,29342,3182,3185,150642,1
Livingston & Wyoming Counties,1,23721.608695652187,1296,1297,107548,1
0_0,0,37970,0,0,NA,NA
Wilson & Greene Counties--Wilson City,0,18807.631578947367,1860,1860,NA,NA
"Southeast Vermont--Windsor, Windham & Orange Counties",-3,29302.453947368416,1546,1543,NA,NA
"Davie, Yadkin & Iredell",-5,29891.454545454544,3722,3717,209286,0.6088745105112794
"Suwannee, Taylor, Madison, Hamilton & Lafayette Counties",-5,16421.015624999996,1568,1563,NA,NA
Northeast Missouri,-7,27153.947368421053,2311,2304,NA,NA
"Henry, Mercer, Henderson, Warren, Hancock, McDonough & Fulton Counties",-9,28442.533980582524,2227,2218,180743,1
Columbia & Luzerne,-9,27518.262295081968,6428,6419,264046,0.5075504194250302
Marathon County,-9,21594.000000000022,2430,2421,134063,1
South Region,-9,21880.472727272718,4107,4098,169930,1
"Darke, Shelby & Preble Counties",-9,29761.40594059406,3260,3251,NA,NA
Lackawanna,-10,27584.701492537322,3495,3485,132272,0.5449728691911847
Portage County,-10,36387.611650485436,2892,2882,161419,1
South Central Planning & Development Commission 2,-10,61872.3469387755,1547,1537,119739,1
Coconino County,-11,38103.11538461538,2252,2241,134421,1
"Columbia, Lincoln, Clatsop & Tillamook Counties",-12,25345.499999999996,3399,3387,157674,1
Erie County,-12,24888.570093457944,13097,13085,919040,1
North Delta Regional Planning & Development District 1,-13,25707.09090909094,2365,2352,153720,1
Gloucester County,-14,27969.700000000023,3602,3588,288288,1
Monroe County,-15,23059.565217391304,12508,12493,744344,1
Osceola County,-15,23310.541666666668,4934,4919,268685,1
Genesee & Orleans Counties,-16,30026.20930232558,1926,1910,102962,1
Brevard County,-20,25650.70731707314,10916,10896,543376,1
Middlesex County,-21,47962.83157894736,2152,2131,165676,1
Santa Fe County,-23,24324.800000000003,1936,1913,144170,1
Tolland County,-24,33838.70212765957,1676,1652,152691,1
"Menard, Logan, De Witt, Piatt, Moultrie, Shelby & Christian Counties",-24,40475.77272727274,3149,3125,444927,1
"Cherokee, Newberry, Chester & Union Counties",-26,31316.111111111088,2158,2132,309902,1
"Wayne, Fayette, Rush & Union Counties",-26,25847.07692307693,2349,2323,118102,1
Virginia's Region 2000,-26,41137.76315789473,1565,1539,122224,1
"Natrona, Carbon & Converse Counties",-27,45249.87096774195,2840,2813,105168,1
Beaver County,-27,24109.37499999997,4088,4061,154018,0.5886480639946187
South & Southeast Illinois,-29,41902.000000000044,2056,2027,141300,1
Winnebago County,-29,29012.666666666668,2869,2840,166994,1
Middle Georgia Regional Commission,-31,22394.689655172413,3574,3543,361884,1
Hampton City,-31,24152.181818181823,4619,4588,137436,1
Ulster County,-32,22019.85714285714,3848,3816,147846,0.5685509921550531
Utah County,-33,35157.5,8034,8001,516564,1
"Auglaize, Mercer & Van Wert Counties",-34,33118.85294117647,1966,1932,NA,NA
Middle Rio Grande Development Council,-34,25970.16923076923,2767,2733,NA,NA
Pennyrile Area Development District (North),-35,21601.819672131147,2085,2050,NA,NA
"Sheridan, Park, Teton, Lincoln & Big Horn Counties",-37,29431.964285714294,2313,2276,NA,NA
Larimer County,-38,27627.340425531922,6709,6671,299630,1
Allegany & Garrett Counties,-40,25296.755102040825,1480,1440,105184,1
"Umatilla, Union, Baker & Wallowa Counties",-43,26363.97222222222,3127,3084,NA,NA
Pennyrile Area Development District,-44,25658.14,2617,2573,109068,1
North Central New Mexico,-44,21530.285714285714,805,761,NA,NA
"Clinton, Muscatine, Jones & Cedar Counties",-44,28705.71428571431,2248,2204,130998,1
Jackson County,-45,22906.95,3349,3304,160248,1
Kosciusko & Marshall Counties,-46,26711.821138211384,2580,2534,NA,NA
Rappahannock-Rapidan Regional Commission,-46,32141.402173913044,2491,2445,166054,1
"Southwest Vermont--Rutland, Bennington & Addison Counties",-47,27877.30769230769,1349,1302,NA,NA
McLean County,-47,25013.50000000002,2465,2418,169572,1
Washington County,-47,30868.205128205125,3576,3529,142821,0.5793814349346467
"Golden Triangle Region--Starkville, Columbus & West Point Cities",-51,12871.758620689647,2700,2649,NA,NA
"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties",-51,16324.681818181807,2321,2270,NA,NA
"Noble, DeKalb, LaGrange & Steuben Counties",-53,28160.571428571464,3395,3342,NA,NA
Oswego County,-53,26806.388888888894,1889,1836,122109,1
Central Kansas--Hutchinson City,-54,24106.04761904762,2857,2803,NA,NA
"Howard, Cass & Tipton Counties",-54,23064.500000000004,3064,3010,137654,1
"East Texas COG (Northwest)--Van Zandt, Wood, Camp & Rains Counties",-54,24773.843749999996,1795,1741,NA,NA
"James City, York Counties, Williamsburg & Poquoson Cities",-54,29128.215686274514,2883,2829,158691,1
Aiken & Edgefield Counties,-55,24958.666666666624,3485,3430,187084,1
Northwest Georgia Regional Commission,-55,25695.897435897437,3114,3059,175346,1
Cumberland Valley Area Development District (North),-56,21943.111111111095,1830,1774,NA,NA
Orange County,-56,32188.761904761905,4318,4262,372813,1
Placer County,-57,35762.25352112676,6100,6043,348432,1
North Delta Regional Planning & Development District 2,-59,11344.875,1363,1304,155306,1
"Huntington, Whitley, Adams & Wells Counties",-61,27186.4,2970,2909,132439,1
Kent County,-63,27384.837209302324,2966,2903,162310,1
Howard County,-63,45919.285714285674,3041,2978,287085,1
Niagara County,-64,26111.692307692305,2858,2794,216469,1
Delaware County,-64,38290.25806451613,1721,1657,174214,1
Northwest Vermont,-65,32129.117647058785,2716,2651,211261,1
"Somerset, Bedford & Fulton Counties",-65,22368.49166666667,1600,1535,NA,NA
"Roane, Loudon & Monroe Counties",-67,27186.376470588246,2478,2411,147256,1
North Central Texas COG,-67,32001.000000000004,2336,2269,125673,1
Marion County,-68,23113.21428571427,21380,21312,903393,1
Jasper & Newton Counties,-68,31036,3611,3543,175518,1
Montgomery & Stewart Counties,-70,27458.136986301382,7021,6951,185655,1
Morgan & Lawrence Counties,-70,21277.183544303796,3262,3192,153829,1
Lake Cumberland Area Development District (East),-70,14608.179775280898,1814,1744,NA,NA
Hendricks County,-70,33509.34146341463,3344,3274,145448,1
Adams & Franklin,-72,30947.797202797203,5367,5295,251968,0.6683341776986756
"Northwest Central Iowa--Storm Lake, Denison & Cherokee Region",-73,22123.222222222208,2399,2326,NA,NA
Lincoln Trail Area Development District,-74,24350.624999999996,6740,6666,269117,1
Manitowoc & Kewaunee Counties,-75,25318.127659574468,1487,1412,102016,1
Bluegrass Area Development District,-75,25243.35616438356,2665,2590,118672,1
Cecil County,-78,37399.52475247525,1570,1492,101108,1
Clallam & Jefferson Counties,-78,21623.529411764714,1735,1657,NA,NA
Golden Crescent Regional Planning Commission,-79,29383.222222222223,3022,2943,108174,1
Cumberland Valley Area Development District (South),-80,18181.959459459464,1335,1255,NA,NA
Medina County,-81,31712.02702702705,2617,2536,172332,1
Pasco County,-81,29340.545454545452,7097,7016,464697,1
"Dubois, Knox, Spencer, Perry, Pike & Crawford Counties",-82,26775.641791044774,2418,2336,NA,NA
"Cherokee, Sequoyah & Adair Counties",-83,17854.6,2047,1964,112061,1
"White, Jackson, Prairie & Woodruff Counties",-83,30648.451612903224,2242,2159,NA,NA
East Texas COG,-85,23552.513513513513,2050,1965,127971,1
Southwest Oklahoma,-86,21963.076923076926,2190,2104,NA,NA
Northern Shenandoah Valley Regional Commission,-86,31439.000000000015,2379,2293,237084,1
"Cerro Gordo, Floyd, Kossuth, Hancock, Winnebago, Mitchell & Worth Counties",-88,28193.00000000002,2046,1958,NA,NA
Hancock & Shelby Counties,-88,37764.846715328466,1673,1585,114438,1
Fulton & Montgomery Counties,-89,27183.63265306122,1957,1868,NA,NA
Northeast Georgia Regional Commission,-91,37371.47619047617,2081,1990,129852,1
Scioto & Lawrence Counties,-91,26137.93333333332,2207,2116,141949,1
Three Rivers Regional Commission,-92,23127.111111111117,2546,2454,151067,1
Southwest Minnesota,-93,22976.43842364532,2135,2042,NA,NA
Huron & Ashland Counties,-93,35438.5,2347,2254,NA,NA
Three Rivers Regional Commission,-93,27390.983606557376,2099,2006,100870,1
Northeast North Dakota,-94,39491.83620689654,2491,2397,104148,1
"Russell, Pike, Barbour, Macon & Bullock Counties",-94,16673.64705882353,3556,3462,145669,1
Northumberland & Montour Counties,-97,37818.90291262136,1662,1565,112795,1
Capital Region Planning Commission 1,-97,27603.465517241384,1743,1646,115869,1
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",-97,24447.446808510635,1984,1887,204082,1
Morris County,-98,33535.06451612904,3398,3300,492276,1
Wayne & Seneca Counties,-99,23349.428571428587,1988,1889,129023,1
Three Rivers Regional Commission,-101,30354.590909090908,2470,2369,127317,1
"Henderson, Hardeman, McNairy, Hardin, Haywood & Decatur Counties",-101,22468.533333333293,1459,1358,NA,NA
"East Central Region--Neshoba, Scott, Leake, Jasper, Smith & Kemper Counties",-102,16550.272727272735,1435,1333,NA,NA
"Butler, Ripley, Wayne, Madison, Iron, Reynolds & Carter Counties",-102,23898.260869565216,2035,1933,NA,NA
DeKalb & Jackson Counties,-104,21953,1900,1796,NA,NA
Tompkins County,-104,25142.26086956521,1397,1293,101564,1
North Central Montana,-106,21029.552238805973,3467,3361,147827,1
"Jackson, Wetzel, Roane, Braxton, Ritchie, Tyler, Gilmer & Calhoun Counties",-106,19097.595238095237,1000,894,NA,NA
"Wood, Pleasants & Wirt Counties",-106,18131.28205128205,1681,1575,100278,1
Sherburne & Benton Counties,-106,31909.196428571442,2211,2105,253900,1
"Webster, Hardin, Hamilton, Butler, Wright, Grundy, Franklin & Humboldt Counties",-108,29771.181818181816,2245,2137,132264,1
Pulaski County,-108,26071.151515151512,8662,8554,382748,1
Northwest Georgia Regional Commission,-109,25189.810810810806,2077,1968,102599,1
Northwest Lower Peninsula (East),-111,26004.095890410958,3086,2975,NA,NA
Portland City,-111,25314.622950819674,17039,16928,578064,0.7861244006125108
Navajo & Apache Counties,-113,20911.757575757612,2313,2200,NA,NA
Northeast Kansas,-113,27473.234042553187,1873,1760,360666,1
Scott County,-113,24234.478723404263,2723,2610,165224,1
South Texas Development Council (South) & Coastal Bend COG (West),-114,13245.500000000002,1294,1180,NA,NA
"Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties",-115,21493.217391304348,3194,3079,185748,1
Kaufman County,-120,34853.18181818182,2187,2067,103350,1
Chelan & Douglas Counties,-121,21209.727272727272,1697,1576,110884,1
Milwaukee City,-123,21924.571428571424,23729,23606,550776,0.5811497939824951
Lake Cumberland Area Development District (West),-127,21243.55319148936,1815,1688,NA,NA
Dakota County,-128,40317.10377358491,8260,8132,398552,1
Southeast Idaho,-129,21880.249999999985,4427,4298,247014,0.655419909307762
Allen County,-130,20969.40594059406,2672,2542,106331,1
Greene County,-130,22279.53488372093,2941,2811,161573,1
Van Buren & Cass Counties,-131,33818.938356164384,2412,2281,257102,1
"Granville, Person & Caswell Counties",-132,32128.899999999998,2018,1886,123099,1
Nassau & Baker Counties,-132,32562.45161290323,2141,2009,100429,1
Warren & Washington Counties,-133,21558.400000000012,2425,2292,128923,1
"Cass, Morgan, Scott, Greene, Macoupin, Jersey & Calhoun Counties",-134,25975.757575757576,2824,2690,144269,1
Washington County,-134,40215.25,2889,2755,238136,1
Eau Claire & Chippewa,-134,30778.805970149253,5239,5105,152254,0.5325130457896725
Southeast Rhode Island,-135,39628.666666666664,2044,1909,132763,1
Bartholomew & Jackson Counties,-135,35982.07692307692,2351,2216,119170,1
Fairfield County,-135,33567.88679245286,3247,3112,146156,1
Ross & Fayette Counties,-137,28558.942307692305,1975,1838,NA,NA
Baldwin County,-138,27880,2738,2600,182265,1
Northeast Albemarle Sound Region,-139,27245.196969696968,2326,2187,114631,1
Penobscot County,-141,15631.893617021278,3033,2892,153923,1
Shasta County,-141,22401.679999999986,3138,2997,177223,1
Hudson County,-143,25540.538461538432,9414,9271,634266,1
Southwest Iowa,-143,29580.689655172417,3496,3353,183381,1
Northeast Region,-145,24475.359999999993,2702,2557,150031,1
"Clark, Jasper, Crawford, Lawrence, Richland, Clay & Wayne Counties",-145,25522.173913043498,1682,1537,NA,NA
Acadiana Regional Development District 1--St. Landry & Evangeline Parishes,-145,19953.964285714286,1603,1458,NA,NA
St. Louis County,-146,22619.658119658117,18543,18397,998954,1
"Jefferson, Jennings, Decatur & Scott Counties",-146,29831.076923076922,2287,2141,110874,1
Thomas Jefferson Planning District Commission,-147,28204.105263157893,3078,2931,234712,1
Allegan County,-148,47017.470588235294,1830,1682,NA,NA
Madison & Cortland Counties,-150,22336.367346938776,1686,1536,122778,1
"Stevens, Okanogan, Pend Oreille & Ferry Counties",-153,21428.489361702133,1673,1520,105203,1
Delaware County,-155,28735.441176470587,5643,5488,558979,1
"Middle Peninsula, Northern Neck & Accomack-Northampton Planning District Commissions",-156,28572.40816326531,1680,1524,170873,1
"Northwest Colorado--Garfield, Routt, Moffat & Rio Blanco Counties",-158,27559.451612903227,2583,2425,NA,NA
"Land Between the Lakes--Weakley, Henry, Carroll, Humphreys, Benton & Houston Counties",-158,17519.172413793105,2410,2252,NA,NA
Johnson County,-159,28248.837209302324,1941,1782,130882,1
Sussex County,-159,48468.333333333256,1823,1664,149265,1
Pima County,-162,22916.333333333332,27289,27127,437353,0.44615883696518177
Crawford & Warren Counties,-162,16981.431818181816,2013,1851,NA,NA
Brazos Valley COG,-163,20409.285714285717,4475,4312,194851,1
Northwest Tennessee,-168,23921.50000000002,2761,2593,142243,1
Sangamon County,-169,25588.63157894749,4445,4276,197465,1
Prince William County,-170,31353.03225806455,9504,9334,339277,0.7471481801205031
South Central Kansas,-171,23945.62162162163,5060,4889,118013,1
Southeast Utah & Uintah Basin Region,-174,21160.249999999993,2145,1971,NA,NA
Northwest New Mexico,-175,19182.105263157933,2949,2774,127808,0.5587259397855291
North Texas Regional Planning Commission,-176,29960.830508474577,3431,3255,300974,1
"Crow Wing, Morrison, Todd & Wadena Counties",-176,27823.130434782597,3058,2882,NA,NA
Calhoun County,-177,21046.00000000002,2669,2492,118572,1
"Isle of Wight, Southampton Counties, Suffolk & Franklin Cities",-178,26675.219999999998,3043,2865,147007,1
"Clay, Polk, Roseau, Pennington, Marshall, Norman, Kittson & Red Lake Counties",-179,26407.283582089556,2226,2047,290180,1
"Jefferson, Grant & Arkansas",-179,17548.476190476194,3469,3290,213458,0.6659387215828438
South Central Iowa,-179,23318.53571428571,2177,1998,106667,1
"Kandiyohi, McLeod, Meeker, Renville & Sibley Counties",-179,43809.14285714285,2452,2273,133146,1
"Hanover, Powhatan, Goochland, New Kent, King William & Charles City Counties",-179,40730.549019607846,2689,2510,191246,1
River Valley Regional Commission,-180,17824.657142857133,3627,3447,169735,1
Middle Georgia Regional Commission,-181,14691.962962962964,3596,3415,155547,1
"Isabella, Gratiot & Clare Counties",-182,20592.40322580645,2733,2551,NA,NA
"Greenbrier, Nicholas, Summers, Monroe & Pocahontas Counties",-183,33195.07692307692,1601,1418,NA,NA
Bucks County,-186,32641.428571428576,6715,6529,625249,1
Cabarrus County,-186,19645.64788732394,4877,4691,133261,0.5585215175443008
"Montgomery, Bond, Clinton, Fayette & Effingham Counties",-188,28435.94444444446,2218,2030,142016,1
Northeast Lower Peninsula,-191,23565,2860,2669,NA,NA
Cochise & Santa Cruz Counties,-191,20987.857142857138,3592,3401,178766,1
Saline County,-192,35327.40983606557,1359,1167,107118,1
"Southwest Kansas--Dodge City, Garden City & Liberal City",-192,30645.200000000008,2840,2648,NA,NA
"Pettis, Randolph, Saline, Cooper, Howard, Carroll & Chariton Counties",-193,22346.685714285715,2459,2266,NA,NA
"Georgetown, Marion & Dillon Counties",-194,10736.17171717172,2537,2343,NA,NA
Mercer County,-194,27351.3962264151,4406,4212,366513,1
Atlanta Regional Commission,-195,26421.724137931036,3156,2961,132403,1
"Athens, Gallia & Meigs Counties",-195,28097.648148148146,1598,1403,NA,NA
Barnstable County,-196,27423.74468085107,2783,2587,131159,0.5406500546177786
"Jasper, Starke, Fulton, Newton & Pulaski Counties",-199,32128.416666666664,1624,1425,105323,1
Summit County,-200,25132.95652173912,6450,6250,541781,1
Imperial County,-200,18945.6724137931,3382,3182,174528,1
Muskingum & Perry Counties,-201,28917.677419354837,2456,2255,122132,1
Northwest Montana--Kalispell City,-204,26934.000000000004,1738,1534,NA,NA
"Oneida, Lincoln, Vilas, Langlade & Forest Counties",-204,23087.731707317074,1779,1575,NA,NA
Southeast Kansas,-207,23455.000000000022,2480,2273,NA,NA
Lorain County,-209,26386.999999999996,6484,6275,301356,1
DuPage County,-211,36102.07865168539,12115,11904,800475,0.8730003795298192
"Houston, Dale, Geneva & Henry Counties",-214,22120.000000000004,4424,4210,195890,1
Stark County,-214,24311.18644067797,7521,7307,404422,1
Elkhart County,-216,33131.622641509435,4048,3832,197559,1
Southwest New Mexico,-218,24235.943661971836,1629,1411,109465,1
West Piedmont Planning District Commission,-218,20823.600000000002,3728,3510,NA,NA
"Warren, Macon, Smith, DeKalb, Cannon & Trousdale Counties",-219,25528.347826086963,2206,1987,121647,1
Cumberland County,-221,24945.1219512195,10673,10452,319431,1
South Plains Association of Governments,-223,25465.85185185185,3219,2996,132828,1
