MSA Title,net migration,raw net migration,met2013,n_obs_for_median_real_wage,mean_nominal_wage,median_nominal_wage,mean_real_wage,median_real_wage,n_in,n_out,MSA 2010 Population
"Hartford-West Hartford-East Hartford, CT",-2.3342497119304906e-4,-283,25540,7393,69662.47892749008,58740.99999999921,52305.69383525299,42140.06666666621,17755,18038,1212381
"Bloomington, IL",-2.525076155222341e-4,-47,14010,1186,61919.97003901171,50690,49493.123953185954,39506.75000000007,2418,2465,186133
"Bridgeport-Stamford-Norwalk, CT",-2.5849967660272527e-4,-237,14860,4430,73547.86727102973,55195,51712.956329247354,35543.436619718406,10936,11173,916829
"Jackson, MI",-2.80814737157406e-4,-45,27100,1067,56889.63211727194,48000,45699.26166714978,38110.448979591834,3304,3349,160248
"Augusta-Richmond County, GA-SC",-2.921010563436383e-4,-165,12260,3172,51836.609349604696,42531,40855.555824908406,32776.51162790697,10336,10501,564873
"Akron, OH",-2.986348122866894e-4,-210,10420,4453,57576.6945901704,48930.03448275855,45810.4831275639,37655.00000000006,9132,9342,703200
"Burlington-South Burlington, VT",-3.076762866785635e-4,-65,15540,983,67790.95062272677,61114.41666666677,51412.0210514714,46061.77777777778,2651,2716,211261
"Milwaukee-Waukesha-West Allis, WI",-3.6248929885314554e-4,-564,33340,7071,60102.20463457642,50000,46288.366173645285,36501.31460674163,32611,33175,1555908
"Minneapolis-St. Paul-Bloomington, MN-WI",-3.720670234249934e-4,-1246,33460,16703,71260.83796915958,60758,55792.77097567867,45581.50000000023,63898,65144,3348859
"San Francisco-Oakland-Hayward, CA",-3.7643663512702775e-4,-1632,41860,20858,77405.56551718291,60828,55373.879470597334,40667.33333333343,52337,53969,4335391
"Jackson, MS",-3.791071409679046e-4,-215,27140,3867,51569.364608021875,40552,40907.89965815862,30946,11155,11370,567122
"Joplin, MO",-3.874246516026846e-4,-68,27900,1303,53727.93094600625,46368,43697.21787148595,37813.22222222235,3543,3611,175518
"Dover, DE",-3.8814614010227344e-4,-63,20100,1130,60219.676124430356,53580,46032.428729938576,38045.88000000011,2903,2966,162310
"Chicago-Naperville-Elgin, IL-IN-WI",-4.002703701100453e-4,-3787,16980,49361,65641.00483411796,53581,49482.19797232665,38677,151426,155213,9461105
"Clarksville, TN-KY",-4.3741007194244603e-4,-114,17300,2147,51633.09052676751,44528.636363636375,40276.57684797768,33121.63636363633,9524,9638,260625
"Decatur, AL",-4.550507381573045e-4,-70,19460,1038,53075.41500635863,45996,43546.59398050021,36872.000000000226,3192,3262,153829
"Canton-Massillon, OH",-5.291502440520051e-4,-214,15940,3123,54756.23270680133,47041,43895.83597778659,36197.87500000023,7307,7521,404422
"Trenton, NJ",-5.29312739247994e-4,-194,45940,1655,71321.9797066311,57265.6181818181,52722.180749181716,38635.43396226404,4212,4406,366513
"Greensboro-High Point, NC",-5.305325635084782e-4,-384,24660,5432,50406.75724336244,41518,39727.24876618499,31385.93749999999,14149,14533,723801
"Mobile, AL",-5.811250581125058e-4,-240,33660,2368,52704.32572512233,43199.999999999935,41684.18457813373,33367.89473684202,7563,7803,412992
"Fayetteville, NC",-6.031939254823504e-4,-221,22180,2808,47363.124978312415,39549.76923076925,36009.506332774276,28948.08333333336,10452,10673,366383
"College Station-Bryan, TX",-7.128487711011983e-4,-163,17780,900,52631.72750198477,40521.58823529411,41130.36664642974,30016.421052631576,4312,4475,228660
"New York-Newark-Jersey City, NY-NJ-PA",-7.496648764450686e-4,-14669,35620,99109,70927.14732512331,55000,50231.33044935464,36267,191851,206520,19567410
"Daphne-Fairhope-Foley, AL",-7.571393300962884e-4,-138,19300,836,52901.362481256416,41216,40916.65109304711,29845.89655172403,2600,2738,182265
"Redding, CA",-7.956077935708119e-4,-141,39820,1316,54061.53308267604,44784.21052631946,39965.75017368916,31635.941176470697,2997,3138,177223
"Springfield, IL",-8.041109577960698e-4,-169,44100,1585,57995.03520762141,46409.05263157894,46549.674950812885,36667.30882352942,4276,4445,210170
"San Jose-Sunnyvale-Santa Clara, CA",-8.182214598312057e-4,-1503,41940,8113,83303.0340960279,67836.52941176508,59230.088832164845,45393.79591836741,18863,20366,1836911
"Los Angeles-Long Beach-Anaheim, CA",-8.563519826465954e-4,-10986,31080,80832,63525.91983289037,50000,43879.5821504784,31573,186645,197631,12828837
"Barnstable Town, MA",-9.07878159045431e-4,-196,12700,1419,65693.1111223186,57702,46760.25495931679,39316.37254901962,2587,2783,215888
"El Paso, TX",-9.14039270111662e-4,-735,21340,5009,47139.531805898034,37781.74074074088,36588.60804724252,27609.89873417721,15868,16603,804123
"Bangor, ME",-9.16042436802817e-4,-141,12620,1099,55156.29191213408,49401.142857142295,43790.31575101612,37135.857142856745,2892,3033,153923
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",-9.160463882924079e-4,-247,42020,1366,65580.3727537923,52717.77419354839,46394.80180863477,36333.290909090945,3624,3871,269637
"Champaign-Urbana, IL",-9.78908193935944e-4,-227,16580,1157,56993.872244576625,44531.05882352972,45085.74960636809,33015.43750000002,2411,2638,231891
"Roanoke, VA",-9.847525323364874e-4,-304,40220,2165,54769.78547247134,47370.571428571435,43454.93437073113,37118.478260869604,7663,7967,308707
"Ithaca, NY",-0.0010239848765310543,-104,27060,403,58752.668425883436,47804.80769230766,45799.22189077559,35546.37037037037,1293,1397,101564
"Glens Falls, NY",-0.001031623527221675,-133,24020,1303,56520.3441475827,49093.17647058819,43424.563172832255,37394,2292,2425,128923
"Iowa City, IA",-0.0010420353112343204,-159,26980,439,66088.19301388267,54412.66666666666,53467.81594267801,43016.15094339622,1782,1941,152586
"Wenatchee, WA",-0.0010912304750910862,-121,48300,774,57243.300626922166,48084.08823529412,45295.82582209605,37091.50769230769,1576,1697,110884
"Elkhart-Goshen, IN",-0.001093344266776001,-216,21140,1391,59309.38876561953,50000,48888.8966483709,39989.4361702128,3832,4048,197559
"San Diego-Carlsbad, CA",-0.0011155576188902382,-3453,41740,16690,65222.08619994678,53313.89610389618,45094.54678307879,35204.52500000039,55042,58495,3095313
"Parkersburg-Vienna, WV",-0.0011438067182458754,-106,37620,760,54088.72237417943,45999.875,45569.4272428884,37810.00000000003,1575,1681,92673
"El Centro, CA",-0.0011459479281261458,-200,20940,960,52435.839440060125,41836.28571428572,39706.36537016159,30372.050632911378,3182,3382,174528
"Lima, OH",-0.0012225973610706191,-130,30620,961,53697.021944847605,49408.250000000065,43705.19982583454,38757.59259259259,2542,2672,106331
"Anniston-Oxford-Jacksonville, AL",-0.0014927638902945046,-177,11500,732,49522.39887955182,40552,40520.24829131653,31758.416666666766,2492,2669,118572
"Madera, CA",-0.0015576840221389985,-235,31460,742,55167.64956938842,44263.83018867926,41436.43208328791,31580.716216216224,1738,1973,150865
"Chico, CA",-0.0015681818181818182,-345,17020,1415,53092.98424423259,42580,39273.49963612547,29276.695652173938,4335,4680,220000
"Brownsville-Harlingen, TX",-0.001592733001821673,-647,15180,2426,43227.12754662279,32972.74193548384,34555.43032048269,24921.51428571387,5640,6287,406220
"McAllen-Edinburg-Mission, TX",-0.0016740473612134714,-1297,32580,3583,42157.01547527595,30912,33252.272176848746,23265.09302325564,10972,12269,774769
"Laredo, TX",-0.001677959601125032,-420,29700,1768,48374.92447859495,37420.72093023257,36794.87931629293,26241.00000000001,3311,3731,250304
"Lancaster, PA",-0.0018712279452107537,-972,29540,3007,63007.41182849414,55000,48881.52277850207,42574.37662337663,8061,9033,519445
"Hanford-Corcoran, CA",-0.001902184570733812,-291,25260,958,57814.82939569656,48878.92307692291,44695.03565438252,35349.0975609756,3444,3735,152982
"Florence, SC",-0.0019117947520504363,-393,22500,1468,50132.812091985696,37633,41001.24708854115,29176.70731707316,3644,4037,205566
"Las Cruces, NM",-0.002036007704329623,-426,29740,848,39647.878145097595,32957.38095238092,30249.771860543835,23814.537815126056,3770,4196,209233
"Saginaw, MI",-0.0020732481053509786,-415,40980,1382,50410.30758482319,40604.42187499992,40082.79828741356,31236.0833333333,3503,3918,200169
"Blacksburg-Christiansburg-Radford, VA",-0.00210394025931765,-375,13980,862,57407.62053398058,50875.65591397852,47179.813737864075,40752.21052631579,2816,3191,178237
"Shreveport-Bossier City, LA",-0.002212313925754472,-973,43340,2635,51056.88475529903,39724,40540.08599699277,29570.365384615394,6900,7873,439811
"Kalamazoo-Portage, MI",-0.002244411171227445,-733,28020,2569,52886.98572808632,44307,41639.62564934473,34231.39080459773,7325,8058,326589
"Merced, CA",-0.002279186686109471,-583,32900,1620,55471.72873831127,42326.017241379384,42442.55933849441,30853.714285714315,5244,5827,255793
"Bend-Redmond, OR",-0.0023837751136414065,-376,13460,742,53719.5377634142,45996,39529.71839029573,31534.352941176643,3804,4180,157733
"Niles-Benton Harbor, MI",-0.002499792746774821,-392,35660,1212,53291.58551876379,44532.999999999854,42474.636114790286,34148.86666666666,3197,3589,156813
"Springfield, MA",-0.0025371237350579985,-1577,44140,3757,63945.99496833082,53313,49154.9974083111,39623.17241379265,8994,10571,621570
"Lawrence, KS",-0.0025806218757331314,-286,29940,320,56448.68990566038,42000,44049.581226415095,30960.869565217385,1731,2017,110826
"East Stroudsburg, PA",-0.0026789604455906076,-455,20700,629,62109.11808150143,55404,45037.65209835781,38936.634146341465,2050,2505,169842
"Napa, CA",-0.0028281703349843203,-386,34900,1037,75501.35044965027,60758,54201.29715776618,41832.8333333333,1860,2246,136484
"Scranton--Wilkes-Barre--Hazleton, PA",-0.0029540603692841593,-1665,42540,3794,56154.6949136117,48404,44783.246414331596,37158.27272727454,8258,9923,563631
"Jefferson City, MO",-0.003237498915270982,-485,27620,1164,57758.97709214256,50690,47663.08898285396,42302.43749999999,2495,2980,149807
"Racine, WI",-0.003285433554409236,-642,39540,939,63354.59534811599,54682,49498.423662583344,42230.89999999998,3055,3697,195408
"Jackson, TN",-0.003945819969079539,-513,27180,830,51465.08604483008,40271,41121.7129428778,31442.700000000015,932,1445,130011
"Anchorage, AK",-0.0081508110109474,-3104,11260,2039,75479.57643088388,64910.252747252765,57609.91452873984,47358.000000000124,11762,14866,380821
NA,NA,-372701,0,615378,54509.05545311151,45621,43864.19831737105,35685,1282567,1655268,NA
