name,net migration,median_real_wage,n_in,n_out
"youngstown-warren-boardman, oh-pa",403,33656.40540540542,10248,9845
"odessa, tx",399,47852.05999999995,4218,3819
"michigan city-la porte, in",397,38916.862068965514,2481,2084
"lafayette, la",390,37918.73684210526,11150,10760
"columbia, mo",388,35609.82758620687,3091,2703
"amarillo, tx",386,38638.769230769234,7144,6758
"santa maria-santa barbara, ca",380,37313.411764705925,7157,6777
"lakeland-winter haven, fl",377,31815.6363636365,12254,11877
"springfield, mo",376,33133.00000000008,9990,9614
"auburn-opelika, al",374,34152.47826086957,2613,2239
"topeka, ks",369,38153.85234899329,4575,4206
"santa rosa, ca",368,39286.54054054053,8430,8062
"muskegon, mi",364,36027.84905660379,4242,3878
"la crosse-onalaska, wi-mn",357,39185.0625,2514,2157
"norwich-new london, ct",338,41734.20338983055,5676,5338
"mansfield, oh",336,34462.16666666664,3119,2783
"york-hanover, pa",332,44599.000000000065,7854,7522
"medford, or",321,26872.848484848535,5022,4701
"greenville-anderson-mauldin, sc",319,33897.04545454548,17086,16767
"goldsboro, nc",317,27139.315068493157,3367,3050
"little rock-north little rock-conway, ar",260,33750.33333333327,13993,13733
"muncie, in",254,33994.29870129873,2458,2204
"lebanon, pa",236,43618.407407407416,2836,2600
"hilton head island-bluffton-beaufort, sc",220,28994.074074074073,4071,3851
"tuscaloosa, al",217,36000.13636363636,3446,3229
"louisville/jefferson county, ky-in",212,36418.833333333416,25254,25042
"johnstown, pa",199,38417.2571428572,1758,1559
"spartanburg, sc",190,36478.95522388009,7035,6845
"lynchburg, va",177,38576.811320754765,3924,3747
"monroe, mi",174,48989.068493150924,2694,2520
"bremerton-silverdale, wa",172,44094.27450980392,5809,5637
"decatur, il",164,34382.333333333314,2911,2747
"janesville-beloit, wi",163,36942.499999999985,4002,3839
"lake havasu city-kingman, az",157,26239.17647058829,5869,5712
"gadsden, al",148,37509.47058823529,2225,2077
"rockford, il",147,35505.727272727374,8580,8433
"urban honolulu, hi",142,46284.43181818196,17202,17060
"morgantown, wv",140,37950.629629629686,1447,1307
"gainesville, fl",135,27662.303030303035,4735,4600
"wilmington, nc",135,29273.555555555562,4780,4645
"albany-schenectady-troy, ny",131,41945.142857142746,13563,13432
"springfield, oh",127,34146.999999999935,3510,3383
"pittsburgh, pa",126,40865.31578947293,34994,34868
"rocky mount, nc",124,27658.142857142884,3122,2998
"portland-south portland, me",115,37955.33333333332,9230,9115
"state college, pa",106,43992.58333333333,1550,1444
"gainesville, ga",87,34524.12903225813,3355,3268
"waco, tx",81,33501.99999999999,6046,5965
"owensboro, ky",61,39628.22222222222,2179,2118
"st. joseph, mo-ks",60,41564.73333333333,2277,2217
"homosassa springs, fl",43,28641.571428571417,2586,2543
"salinas, ca",42,36006.851851851854,6237,6195
"erie, pa",40,35923.09433962262,4805,4765
"bloomington, in",39,30345.41379310345,2411,2372
"oxnard-thousand oaks-ventura, ca",33,40832.04166666841,12470,12437
"lewiston-auburn, me",28,36607.04761904758,2386,2358
"naples-immokalee-marco island, fl",27,32557.473684210545,5901,5874
"santa cruz-watsonville, ca",24,36091.54545454548,2922,2898
"yakima, wa",24,34215.5663716814,5451,5427
"new haven-milford, ct",22,35632.69230769228,12825,12803
"visalia-porterville, ca",16,28911.4081632652,7678,7662
"pittsfield, ma",10,34311.17241379316,1741,1731
"wausau, wi",-9,41790.33333333349,2421,2430
"flagstaff, az",-11,40347.875,2241,2252
"monroe, la",-13,28745.666666666668,2352,2365
"palm bay-melbourne-titusville, fl",-20,31015.10000000003,10896,10916
"chattanooga, tn-ga",-23,35968.760563380114,10124,10147
"santa fe, nm",-23,30538.428571428485,1913,1936
"oshkosh-neenah, wi",-29,41823.605095541425,2840,2869
"provo-orem, ut",-33,44465.145161290326,8001,8034
"fort collins, co",-38,40292.571428571675,6671,6709
"rochester, ny",-42,36231.774193548306,17848,17890
"jackson, mi",-45,38110.448979591834,3304,3349
"bloomington, il",-47,39506.75000000007,2418,2465
"dover, de",-63,38045.88000000011,2903,2966
"burlington-south burlington, vt",-65,46061.77777777778,2651,2716
"joplin, mo",-68,37813.22222222235,3543,3611
"decatur, al",-70,36872.000000000226,3192,3262
"buffalo-cheektowaga-niagara falls, ny",-76,40505.26666666696,15879,15955
"ithaca, ny",-104,35546.37037037037,1293,1397
"parkersburg-vienna, wv",-106,37810.00000000003,1575,1681
"clarksville, tn-ky",-114,33121.63636363633,9524,9638
"wenatchee, wa",-121,37091.50769230769,1576,1697
"lima, oh",-130,38757.59259259259,2542,2672
"glens falls, ny",-133,37394,2292,2425
"daphne-fairhope-foley, al",-138,29845.89655172403,2600,2738
"bangor, me",-141,37135.857142856745,2892,3033
"redding, ca",-141,31635.941176470697,2997,3138
"iowa city, ia",-159,43016.15094339622,1782,1941
"tucson, az",-162,30342.74999999993,27127,27289
"college station-bryan, tx",-163,30016.421052631576,4312,4475
"augusta-richmond county, ga-sc",-165,32776.51162790697,10336,10501
"springfield, il",-169,36667.30882352942,4276,4445
"anniston-oxford-jacksonville, al",-177,31758.416666666766,2492,2669
"trenton, nj",-194,38635.43396226404,4212,4406
"barnstable town, ma",-196,39316.37254901962,2587,2783
"el centro, ca",-200,30372.050632911378,3182,3382
"akron, oh",-210,37655.00000000006,9132,9342
"canton-massillon, oh",-214,36197.87500000023,7307,7521
"jackson, ms",-215,30946,11155,11370
"elkhart-goshen, in",-216,39989.4361702128,3832,4048
"fayetteville, nc",-221,28948.08333333336,10452,10673
"cleveland-elyria, oh",-225,35539,40482,40707
"champaign-urbana, il",-227,33015.43750000002,2411,2638
"madera, ca",-235,31580.716216216224,1738,1973
"new orleans-metairie, la",-235,30819.888888888883,23092,23327
"bridgeport-stamford-norwalk, ct",-237,35543.436619718406,10936,11173
"mobile, al",-240,33367.89473684202,7563,7803
"san luis obispo-paso robles-arroyo grande, ca",-247,36333.290909090945,3624,3871
"hartford-west hartford-east hartford, ct",-283,42140.06666666621,17755,18038
"lawrence, ks",-286,30960.869565217385,1731,2017
"hanford-corcoran, ca",-291,35349.0975609756,3444,3735
"roanoke, va",-304,37118.478260869604,7663,7967
"miami-fort lauderdale-west palm beach, fl",-339,27998.42857142923,113365,113704
"st. louis, mo-il",-339,38444,57130,57469
"chico, ca",-345,29276.695652173938,4335,4680
"blacksburg-christiansburg-radford, va",-375,40752.21052631579,2816,3191
"bend-redmond, or",-376,31534.352941176643,3804,4180
"greensboro-high point, nc",-384,31385.93749999999,14149,14533
"napa, ca",-386,41832.8333333333,1860,2246
"niles-benton harbor, mi",-392,34148.86666666666,3197,3589
"florence, sc",-393,29176.70731707316,3644,4037
"saginaw, mi",-415,31236.0833333333,3503,3918
"laredo, tx",-420,26241.00000000001,3311,3731
"las cruces, nm",-426,23814.537815126056,3770,4196
"east stroudsburg, pa",-455,38936.634146341465,2050,2505
"jefferson city, mo",-485,42302.43749999999,2495,2980
"jackson, tn",-513,31442.700000000015,932,1445
"milwaukee-waukesha-west allis, wi",-564,36501.31460674163,32611,33175
"merced, ca",-583,30853.714285714315,5244,5827
"racine, wi",-642,42230.89999999998,3055,3697
"brownsville-harlingen, tx",-647,24921.51428571387,5640,6287
"detroit-warren-dearborn, mi",-727,36885.28205128162,78767,79494
"kalamazoo-portage, mi",-733,34231.39080459773,7325,8058
"el paso, tx",-735,27609.89873417721,15868,16603
"lancaster, pa",-972,42574.37662337663,8061,9033
"shreveport-bossier city, la",-973,29570.365384615394,6900,7873
"washington-arlington-alexandria, dc-va-md-wv",-1075,45891.99999999924,84316,85391
"minneapolis-st. paul-bloomington, mn-wi",-1246,45581.50000000023,63898,65144
"mcallen-edinburg-mission, tx",-1297,23265.09302325564,10972,12269
"san jose-sunnyvale-santa clara, ca",-1503,45393.79591836741,18863,20366
"springfield, ma",-1577,39623.17241379265,8994,10571
"san francisco-oakland-hayward, ca",-1632,40667.33333333343,52337,53969
"scranton--wilkes-barre--hazleton, pa",-1665,37158.27272727454,8258,9923
"anchorage, ak",-3104,47358.000000000124,11762,14866
"san diego-carlsbad, ca",-3453,35204.52500000039,55042,58495
"chicago-naperville-elgin, il-in-wi",-3787,38677,151426,155213
"los angeles-long beach-anaheim, ca",-10986,31573,186645,197631
"new york-newark-jersey city, ny-nj-pa",-14669,36267,191851,206520
not in identifiable area,-372701,35685,1282567,1655268
