res_stname,res_state,res_puma,place_name,pop,real_wage_high_skill,real_wage_low_skill,nominal_wage_everyone,nominal_wage_high_skill,nominal_wage_low_skill,n_move_in_high_skill,n_move_in_low_skill,n_move_out_high_skill,n_move_out_low_skill,net_mig_low_skill,net_mig_high_skill
California,6,3700,Los Angeles County,2383983,104036.6660796838,46615.26120625804,87616.20565146362,125168.97227215693,63932.72230490804,122873,127463,126116,140581,-5.502556016548776,-1.3603284922753225
Illinois,17,3400,Chicago City,1430895,112983.99697868158,51942.320160687595,93613.0135745125,128869.20994537456,63047.59593932917,95595,78517,100023,87624,-6.36454806257622,-3.094566687283134
Massachusetts,25,390,Middlesex County,1301034,131995.6519330548,65880.98032891867,118025.60283119812,151911.2654520848,80899.4803117475,74205,57065,74956,57438,-0.2866950440956962,-0.5772331852972328
Texas,48,4600,Houston City,1231611,121807.18391130448,52372.657638993114,88726.79432454868,135559.87270357384,61570.42377266522,68662,108762,65044,104949,3.0959450670706903,2.937615854356611
Arizona,4,100,Maricopa County,1045816,101607.7209765429,53848.34526439862,85202.78883004814,116712.6719316218,65242.201140279045,61548,96405,55757,92067,4.147957193234756,5.53730292900472
Colorado,8,190,Denver City,1021459,107968.13718069062,58161.508535775,97912.03649969689,126180.54611849147,71551.47041367218,79329,74568,71594,71825,2.6853745475834074,7.572501686313401
California,6,7300,San Diego County,810472,107193.87991157925,50486.431821725455,96155.87598463178,129952.921638438,68904.74702147109,56466,51301,54938,56937,-6.953972499975323,1.8853211461962907
California,6,5900,Orange County,745500,122473.74098623756,59852.61824317575,111758.55387522955,147079.48057439874,81054.1183746995,49522,41793,48430,44356,-3.437961099932931,1.4647887323943662
Texas,48,2300,Dallas County,713028,112912.97664412683,47379.68939426801,81470.655321423,126950.97849292144,56546.73364833462,47530,60368,44703,60805,-0.6128791576207386,3.9647811867135654
Washington,53,11600,King County,670012,123236.68356482511,62895.254429698,116720.79791922701,144809.959874757,79308.738961578,62537,37973,58526,39036,-1.5865387485597273,5.986459944001003
New York,36,4e3,NYC-Brooklyn Community District 18,654543,100817.75094327584,42432.44704381477,86954.2821414992,121761.57799093945,59079.77474331809,37779,21166,39845,27114,-9.087256299433346,-3.156400725391609
Florida,12,8690,Miami-Dade County,635709,94722.6710303774,40330.552878958326,74824.81871695712,111254.51670314607,53518.6952622936,28283,39582,31674,45898,-9.935363507516804,-5.33420165515983
New York,36,3800,NYC-Manhattan Community District 8,557286,163566.3709289697,44274.53827949145,152827.817906947,187740.96591526165,59015.79751238912,57144,8593,63814,13326,-8.492946171265741,-11.96871983146894
Nevada,32,400,Clark County,553536,91483.64135695156,51791.57795796154,75481.35609907153,105531.50313395668,63557.459369162105,23344,69469,21807,64318,9.305627818244885,2.776693837437854
New York,36,4100,NYC-Queens Community District 7,547277,88926.70030881371,50519.50255564182,85126.0515059136,109450.8482806588,69412.43983278699,20853,20251,24164,24081,-6.998284232664629,-6.0499527661495005
Texas,48,2500,Tarrant County,533894,112082.43157536839,59003.51459380641,89268.78435026707,124801.71533025813,68331.73032231948,27873,49203,26284,45799,6.3757974429381115,2.9762462211600056
Georgia,13,1090,Atlanta Regional Commission,525485,113764.83814511112,43197.907627255954,97017.9301500354,129255.50303347819,54068.85391738957,41573,33030,41098,35539,-4.7746367641321825,0.9039268485304053
Florida,12,1100,Broward County,494060,97655.27203264252,49962.50931893005,82910.88396798434,113973.32551214613,62936.20962737828,24520,41001,24821,39896,2.2365704570295106,-0.6092377444035137
California,6,8500,Santa Clara County,491460,171005.05922999865,68199.49648738954,150826.7714117986,192677.43997541096,90256.81033880544,42174,17189,41651,19097,-3.8823098522768893,1.0641761282708664
California,6,6500,Riverside County,469243,97699.84570970916,53001.728089280055,80448.14866786008,116276.90571410624,67685.31059314923,14771,39187,13778,37844,2.862056546394938,2.116174348898119
Texas,48,5900,San Antonio City,451877,96665.51598643362,50157.032563490386,76348.12148836804,108773.47242119395,58676.56432312224,23734,43005,23673,40496,5.552395895343202,0.1349924868935573
California,6,7100,San Bernardino County,431467,90744.52562361148,52292.64014233735,77713.83884871617,109343.08252276311,66429.81592650694,13749,36929,14013,36397,1.2330027557148056,-0.611866029151708
California,6,100,Alameda County,426494,127652.49336341693,59250.80721129569,117807.8749008207,150848.82585651026,79296.89931336608,30650,16488,29655,19491,-7.041130707583225,2.332975375972464
Michigan,26,3200,Wayne County,419258,101678.82544132917,47953.26309716599,72265.10041431262,111871.03879543094,55107.872046783625,13940,35020,14848,36850,-4.364854099385104,-2.16573088647086
Minnesota,27,1400,Hennepin County,384377,119977.79561963321,59458.90181153843,107142.83905699562,135427.56595120046,70768.97038021243,29414,21334,29497,21970,-1.6546255369077754,-0.21593383579142353
Ohio,39,4100,Columbus,380498,96651.1048450496,49734.084928856326,81997.81139061188,108314.68345623497,58614.63608105559,25769,29998,25792,28576,3.7372075543104035,-0.06044709827646926
Pennsylvania,42,3200,Philadelphia City,378728,89516.36223827611,43401.3620300293,71259.4906143644,103439.78799648808,52549.193198464134,24604,20168,26048,22898,-7.2083394943072605,-3.8127627215310196
California,6,6700,Sacramento County,374557,100234.8302145452,50475.96779200161,84466.30624289489,117891.67181731833,64245.23622555669,20471,34081,18389,30684,9.069380628315583,5.5585665199155265
Texas,48,5300,Austin City,374527,109272.56300903248,51484.775824649114,97300.97926170903,126138.45230834176,63841.532453932814,35711,24734,34471,23804,2.483132057234859,3.310842742979812
Florida,12,5700,Hillsborough County,369368,102018.03044918686,50223.76652693612,83005.50515239395,115922.68353988315,60617.74132087099,21953,33261,20709,31722,4.166576422429664,3.3679149249528924
Ohio,39,900,Cuyahoga County,352666,104644.0225987349,47129.856649974616,78394.00452180236,114941.27095514703,54458.484923883,16697,26850,17621,27444,-1.6843132028604968,-2.620042760005217
Pennsylvania,42,1700,Allegheny County,351616,107389.11497902047,54873.55618136451,90165.95089185788,118753.01174111619,62244.70360349905,20868,18202,21840,18185,0.04834819803421915,-2.7643793228977067
Michigan,26,2900,Oakland County,348431,126068.25336347849,61709.3302139151,110124.68319450198,139919.76372751402,71514.8314325263,22106,17643,19991,18339,-1.997526052503939,6.0700683923072285
Florida,12,9500,Orange County,348378,93475.20263533479,46296.33275245163,77170.4662758472,107469.98007920076,57195.51380864034,20974,28573,20439,27978,1.707914965927814,1.5356882466745891
Virginia,51,59300,Fairfax County,333299,147657.22548435,68208.84643058124,146736.2099918488,171911.5952731797,87904.92972371841,29136,11865,29632,13623,-5.27454327795763,-1.488153279787818
Florida,12,9900,Palm Beach County,328742,100541.29071533222,52159.662502572544,85020.03333765187,116503.43890962367,64823.958894148316,19172,27029,17998,25264,5.368951944077726,3.571189565069264
North Carolina,37,3100,Charlotte City,324348,111789.02803449608,47488.07165503252,92959.23724793458,125991.46552537865,57788.09915210876,28158,23162,25537,21508,5.0994610726750285,8.080826766312725
New York,36,3700,NYC-Bronx Community District 9,319838,69497.78577535134,34107.6820390648,57728.008581668,85797.47768961948,48400.52459866129,6940,17631,7897,20056,-7.581963368955534,-2.9921397707589468
New York,36,3300,Suffolk County,316864,137484.21565035766,81313.95080818521,124519.750517338,158029.16087990784,98883.08287306831,8679,8689,10314,10834,-6.769465764492022,-5.159942435871541
North Carolina,37,1200,Wake County,309709,109632.84246180563,55860.12035634104,101409.71864007285,124745.72727612974,66931.04267908294,25010,20044,22088,18555,4.807738877462392,9.43466286094366
New Hampshire,33,290,Hillsborough County,302068,114244.67271932805,65997.43003502497,100313.30000797258,129403.41207942905,78176.2947787663,13542,19008,12776,18425,1.9300290000926943,2.535852854324192
Maryland,24,1e3,Montgomery County,290661,145807.7564444475,64393.286396323616,138808.97321239006,168027.4155091799,82367.21884808433,22886,10718,23476,12210,-5.133127595377433,-2.029856086643891
New York,36,3200,Nassau County,289973,159440.09301197022,84998.43886451246,146760.42768816123,181361.93689891475,104961.77014015953,11268,8886,11425,9804,-3.165811989392116,-0.5414297193186952
Utah,49,35e3,Salt Lake County,278275,99737.69802490973,61088.66748956633,90077.33632047276,115716.81048713981,73291.6937767878,15409,21499,13987,21609,-0.3952924265564639,5.110053005120833
Missouri,29,1800,St. Louis County,275048,119448.256992698,56968.033510030444,99838.780573432,132518.7836844798,66100.54452479041,14667,17639,14372,16732,3.2976062360024434,1.072540065733981
California,6,7500,San Francisco County,271833,154089.33805432767,59223.209071097794,145510.57774622223,176769.59233566234,79158.85120615031,23868,6271,27441,7915,-6.047830837315558,-13.144099502267936
Wisconsin,55,40100,Milwaukee City,270660,90015.64095369769,45813.891254650036,71937.87890796555,101007.0140560616,54365.20298749611,13932,22748,15093,23069,-1.1859898027045002,-4.28951452006207
California,6,1300,Contra Costa County,268630,146930.3177028029,65484.22886745814,124206.74331906167,168415.77395668463,84393.569491556,14876,15328,13197,14555,2.8775639355246994,6.250232662025835
Indiana,18,2300,Marion County,265791,89937.26210020386,42995.84969504621,69211.8340089116,99866.32195655402,51014.40934336756,12602,19865,13782,20700,-3.1415661177391256,-4.4395784657870285
Texas,48,1900,Collin County,265337,126850.7337079413,72242.34792051255,118804.88353403662,142564.59588919283,84954.86875158359,19411,13770,17136,14060,-1.0929497205440628,8.574002118061182
New York,36,3100,Westchester County,260014,171903.33844494977,64533.01735355592,144304.21138712653,192527.3724081797,82704.9963342087,12822,10916,13539,10269,2.488327551593376,-2.757543824563293
Illinois,17,3200,DuPage County,254987,133680.22021457844,67831.91880642317,119082.53412244322,150546.4225629691,80957.41470545568,16444,11355,17020,11970,-2.411887664861346,-2.25893869099209
Florida,12,3100,Duval County,251928,92761.29549821357,49711.835223318645,75626.80379533523,105043.17673680032,59098.76105886762,13825,25352,13353,24341,4.013051348004192,1.873551173351116
Arizona,4,200,Pima County,249558,88906.93805941725,47397.02248927282,72971.00392730633,101131.41585729702,56200.27375574164,13414,26699,13682,26945,-0.985742793258481,-1.0738986528181826
Tennessee,47,3200,Memphis City,249492,101982.87779668043,43303.44392345192,75780.01428079644,113663.9164248238,51723.101885559176,11356,22653,12135,23246,-2.3768297179869493,-3.122344604235807
Oklahoma,40,1290,Tulsa County,246738,96402.67889646876,51533.272126254786,75979.50226409173,106768.12049889995,59102.78017334872,9927,24080,10797,23496,2.3668830905657012,-3.526007343822192
Oregon,41,1325,Portland City,245110,90450.30151298887,47862.444695164515,85733.24025452777,108905.3175906366,61311.56513105639,22036,15793,20515,16097,-1.2402594753376035,6.205377177593734
New York,36,1200,Erie County,242469,96939.68280125485,56287.577880261466,82101.82862335023,107314.66945930984,64047.440905967545,10355,12904,11157,13254,-1.4434834968593924,-3.307639327089236
Florida,12,10300,Pinellas County,241591,93411.0084148907,50184.17354120187,77774.57725463437,106710.2739870118,60559.90824581451,13244,21421,11433,19633,7.4009379488474325,7.496140170784508
Maryland,24,1100,Prince George's County,241336,107054.12996545188,68858.4533551025,99738.09300082743,123287.57751818145,83533.11812698882,10984,18803,11242,17814,4.0980210163423605,-1.0690489607849638
Connecticut,9,100,Stamford & Greenwich Towns,240546,177990.97385008686,61679.993229226035,141963.00850086217,196920.48672013739,77761.79896272655,15053,10047,14541,10689,-2.668928188371455,2.128491016271316
Connecticut,9,300,"West Hartford, Farmington, Simsbury, Bloomfield, Avon & Canton Towns",240355,123529.87983406473,61250.12013877527,102772.3516532315,138489.16132976778,72694.45932498628,10473,13180,11430,13859,-2.8249880385263464,-3.98161053441784
Ohio,39,5500,Hamilton County,237691,108953.4921352232,50948.36162911898,85514.81708383876,120206.48800504203,58816.275554959284,13152,19872,13466,19729,0.6016214328687245,-1.3210428665788776
New Jersey,34,300,Bergen County,236610,143993.52922576483,72881.33375807399,133200.7968566701,165649.979183514,91259.99052260716,12700,7642,13310,7751,-0.4606736824310046,-2.5780820759900256
Georgia,13,4007,Atlanta Regional Commission,232032,98101.27030933063,55156.49836812108,85262.518665046955,110779.63993407707,65884.16801132206,10622,13814,10894,13954,-0.6033650530961246,-1.1722521031581852
Massachusetts,25,3300,Boston City,228585,113515.18407752142,47339.57926470964,100253.5453310696,135223.96511058274,62865.90394982244,22197,9588,23872,10953,-5.971520440973817,-7.327689918411094
Texas,48,2e3,Denton County,227561,117784.36988213028,70442.13598820059,107841.68422955985,132570.21109939867,81928.33608234482,16964,18631,14051,14768,16.97566806262936,12.800963258203295
Michigan,26,3e3,Macomb County,224903,98339.92252174662,62203.369289088565,83027.15564449952,108735.4055981397,70701.0642446566,6935,16246,6956,15627,2.75229765721222,-0.09337358772448567
Connecticut,9,900,New Haven County,222420,111907.53977733888,60184.3803254913,95349.56192368435,127374.41656295655,72306.20505757419,9821,12769,10183,12986,-0.9756316877978599,-1.6275514791835266
Pennsylvania,42,3100,Montgomery County,221279,133538.97448716933,67032.09352701325,120542.85072045785,150976.96849754476,80368.12884550041,13536,9194,13372,7651,6.973097311538827,0.7411457933197456
District of Columbia,11,100,District of Columbia,220198,131121.32469615288,43760.86225462362,123118.12959206376,153992.64271636427,58312.45642034393,25487,6078,27543,8272,-9.963759888827328,-9.337051199375107
Georgia,13,3e3,Atlanta Regional Commission,219917,113168.92681483888,55155.00825073484,99253.79771071409,127426.13518780595,66050.91952970128,15032,16767,13290,15477,5.865849388632984,7.921170259688883
Maryland,24,500,Baltimore County,218447,113482.06950686799,62956.13544957571,100474.79801804002,129442.15365872133,75734.96530196349,10784,12484,11106,12122,1.6571525358553791,-1.4740417584127958
Washington,53,11500,Pierce County,216544,98124.02536958156,60539.34481171246,85546.87392866146,113662.74929006932,73392.80035743944,9334,20921,8426,19183,8.026082458992168,4.193143194916507
Hawaii,15,300,Honolulu County,216318,96325.59908932295,62673.15802918451,100368.92969453927,119949.46210477041,84521.01987348021,12458,15676,13688,16898,-5.64909069055742,-5.686073281002968
