MSA Title,net migration,raw net migration,met2013,n_obs_for_median_real_wage,median_real_wage,n_in,n_out,MSA 2010 Population
"Lafayette-West Lafayette, IN",0.002041736665526862,412,29200,956,41055.57692307678,4152,3740,201789
"San Antonio-New Braunfels, TX",0.0020387321774294424,4368,41700,13734,34943.249999998574,50922,46554,2142508
"Modesto, CA",0.0020254522764956177,1042,33700,3469,35633.33333333334,11397,10355,514453
"Charleston, WV",0.0019993130113881573,454,16620,1279,34537.69491525413,4245,3791,227078
"Lansing-East Lansing, MI",0.00183390943806084,851,29620,3078,36060.45454545442,9703,8852,464036
"Lebanon, PA",0.00176689027311931,236,30140,998,43618.407407407416,2836,2600,133568
"Salisbury, MD-DE",0.0017201620109041685,643,41540,2756,36025.4736842108,6618,5975,373802
"Richmond, VA",0.0016869450484686297,2038,40060,7745,38703.77777777764,25498,23460,1208101
"Deltona-Daytona Beach-Ormond Beach, FL",0.0016822268414285206,993,19660,4143,29084.20689655177,9934,8941,590289
"Tampa-St. Petersburg-Clearwater, FL",0.0015909498380127067,4428,45300,22202,32603.85714285539,66827,62399,2783243
"Dallas-Fort Worth-Arlington, TX",0.0015849145391049846,10185,19100,44026,37276.2608695649,159770,149585,6426214
"Medford, OR",0.0015796777654203125,321,32780,1226,26872.848484848535,5022,4701,203206
"Topeka, KS",0.0015777996322743405,369,45820,1709,38153.85234899329,4575,4206,233870
"Harrisburg-Carlisle, PA",0.0015705901087401612,863,25420,3937,39437.96721311475,10645,9782,549475
"Lincoln, NE",0.0015422445946974585,466,30700,1408,39726.727272727236,6507,6041,302157
"Amarillo, TX",0.001532153389988608,386,11100,2161,38638.769230769234,7144,6758,251933
"Stockton-Lodi, CA",0.0015263254662880523,1046,44700,4796,36666.344827586225,14258,13212,685306
"Hickory-Lenoir-Morganton, NC",0.0015184803158439057,555,25860,2963,32343.477272727287,7641,7086,365497
"Decatur, IL",0.0014805720063556262,164,19500,1093,34382.333333333314,2911,2747,110768
"Columbus, OH",0.0014732062583400194,2802,18140,10940,36406.60606060811,41321,38519,1901974
"Ogden-Clearfield, UT",0.0014602476057465432,872,36260,2983,46013.866666666756,10326,9454,597159
"Toledo, OH",0.001455735318466691,888,45780,5153,35843.677419354855,16017,15129,610001
"Dayton, OH",0.001440132527226137,1151,19380,5364,33844.90909090916,20661,19510,799232
"Gadsden, AL",0.0014172172747294839,148,23460,729,37509.47058823529,2225,2077,104430
"Bakersfield, CA",0.0014029972690384228,1178,12540,5089,33642.71428571397,19906,18728,839631
"Johnstown, PA",0.0013850319114136374,199,27780,1695,38417.2571428572,1758,1559,143679
"Eugene, OR",0.0013647413388681176,480,21660,2487,32024.74999999999,8338,7858,351715
"Charleston-North Charleston, SC",0.0013617069937572129,905,16700,4330,34310.000000000015,16372,15467,664607
"Montgomery, AL",0.0013616848580643784,510,33860,2165,31738.457142857154,9716,9206,374536
"Beaumont-Port Arthur, TX",0.0013517200327389071,545,13140,3048,38370.10526315794,8665,8120,403190
"Fort Wayne, IN",0.0013333109112879783,555,23060,2889,36462.260869565296,8458,7903,416257
"Houston-The Woodlands-Sugar Land, TX",0.0013279472253301119,7862,26420,34373,36626.2317073138,145882,138020,5920416
"Gulfport-Biloxi-Pascagoula, MS",0.0012948405997270044,480,25060,2128,30070.39285714298,9630,9150,370702
"Jacksonville, FL",0.001284932476018062,1729,27260,8792,34513.60784313736,36033,34304,1345596
"Oklahoma City, OK",0.0012713619534759739,1593,36420,7109,37772.15686274633,34992,33399,1252987
"Norwich-New London, CT",0.0012333290762803087,338,35980,1964,41734.20338983055,5676,5338,274055
"Seattle-Tacoma-Bellevue, WA",0.0012050087664751154,4145,42660,21593,43432.10666666571,79595,75450,3439809
"Hilton Head Island-Bluffton-Beaufort, SC",0.0011764076787337575,220,25940,1028,28994.074074074073,4071,3851,187010
"Monroe, MI",0.0011445787095203952,174,33780,1117,48989.068493150924,2694,2520,152021
"Albuquerque, NM",0.00110249730293988,978,10740,4706,31383.26666666671,17331,16353,887077
"Baton Rouge, LA",0.001087872156952662,873,12940,4433,39623.244444444405,13872,12999,802484
"Nashville-Davidson--Murfreesboro--Franklin, TN",0.0010820580648636356,1808,34980,12550,36008.19607843158,40054,38246,1670890
"Morgantown, WV",0.0010793391360661173,140,34060,779,37950.629629629686,1447,1307,129709
"Omaha-Council Bluffs, NE-IA",0.0010712428497139887,927,36540,6234,39428.444444444445,23348,22421,865350
"Virginia Beach-Norfolk-Newport News, VA-NC",0.0010579536766573913,1774,47260,11332,35893.58974358848,44168,42394,1676822
"Reading, PA",0.001042674301602656,429,39740,2945,41164.255319148804,7443,7014,411442
"Columbia, SC",0.0010226707208721231,785,17900,5264,33397.23076923098,15940,15155,767598
"Janesville-Beloit, WI",0.0010166468119078655,163,27500,1043,36942.499999999985,4002,3839,160331
"Kansas City, MO-KS",9.953507168018187e-4,2000,28140,13019,38760.7999999996,46211,44211,2009342
"Sacramento--Roseville--Arden-Arcade, CA",9.557369108479862e-4,2054,40900,13447,35700,48419,46365,2149127
"Cincinnati, OH-KY-IN",9.533808132111342e-4,2016,17140,12953,38558.019999999415,44431,42415,2114580
"Tuscaloosa, AL",9.42814191743207e-4,217,46220,1253,36000.13636363636,3446,3229,230162
"Springfield, OH",9.180745013843407e-4,127,44220,1255,34146.999999999935,3510,3383,138333
"Riverside-San Bernardino-Ontario, CA",9.072509302694936e-4,3833,40140,26806,35770.30487804951,80887,77054,4224851
"Santa Maria-Santa Barbara, CA",8.964484129324479e-4,380,42200,2237,37313.411764705925,7157,6777,423895
"Portland-Vancouver-Hillsboro, OR-WA",8.751087708989497e-4,1948,38900,14583,38008.01657458546,50508,48560,2226009
"Grand Rapids-Wyoming, MI",8.655749905454134e-4,856,24340,4296,39283.991228070176,16885,16029,988938
"Springfield, MO",8.609793181776548e-4,376,44180,2443,33133.00000000008,9990,9614,436712
"Lafayette, LA",8.355650776647027e-4,390,29180,3538,37918.73684210526,11150,10760,466750
"Indianapolis-Carmel-Anderson, IN",8.183795872294646e-4,1545,26900,11798,35625.5068493173,41121,39576,1887877
"Rocky Mount, NC",8.136910074019633e-4,124,40580,1094,27658.142857142884,3122,2998,152392
"Wichita, KS",7.924947576471782e-4,500,48620,3565,35190.48101265829,13217,12717,630919
"Lake Havasu City-Kingman, AZ",7.842706283156664e-4,157,29420,1346,26239.17647058829,5869,5712,200186
"York-Hanover, PA",7.63267520667997e-4,332,49620,3139,44599.000000000065,7854,7522,434972
"Santa Rosa, CA",7.605222804095247e-4,368,42220,3100,39286.54054054053,8430,8062,483878
"Allentown-Bethlehem-Easton, PA-NJ",7.464931262961642e-4,613,10900,5177,40814.85714285756,14112,13499,821173
"Youngstown-Warren-Boardman, OH-PA",7.122998092874704e-4,403,49660,4694,33656.40540540542,10248,9845,565773
"Atlanta-Sandy Springs-Roswell, GA",7.015681533076791e-4,3709,12060,30296,34132,114330,110621,5286728
"Lynchburg, VA",7.006182857414283e-4,177,31340,1679,38576.811320754765,3924,3747,252634
"State College, PA",6.883563867783623e-4,106,44300,832,43992.58333333333,1550,1444,153990
"Bremerton-Silverdale, WA",6.84896051096431e-4,172,14740,1912,44094.27450980392,5809,5637,251133
"Orlando-Kissimmee-Sanford, FL",6.671629784516665e-4,1424,36740,13082,31118.07692307783,48538,47114,2134411
"Lakeland-Winter Haven, FL",6.261470365972147e-4,377,29460,4604,31815.6363636365,12254,11877,602095
"Spartanburg, SC",6.065094423943715e-4,190,43900,2092,36478.95522388009,7035,6845,313268
"Phoenix-Mesa-Scottsdale, AZ",5.778834488026985e-4,2423,38060,27388,36298.7407407411,107869,105446,4192887
"Salt Lake City, UT",5.763540413265152e-4,627,41620,6558,44295.47058823522,23671,23044,1087873
"Owensboro, KY",5.315811489124372e-4,61,36980,812,39628.22222222222,2179,2118,114752
"Wilmington, NC",5.296527047598123e-4,135,48900,1443,29273.555555555562,4780,4645,254884
"Fresno, CA",5.255521521844269e-4,489,23420,5934,27656.950000000168,21416,20927,930450
"Gainesville, FL",5.108315201967647e-4,135,23540,1360,27662.303030303035,4735,4600,264275
"Knoxville, TN",4.954803831555772e-4,415,28940,6212,33841.87341772153,15572,15157,837571
"Baltimore-Columbia-Towson, MD",4.947446752228104e-4,1341,12580,15148,45367.056603773504,42152,40811,2710489
"Gainesville, GA",4.841833440929632e-4,87,23580,1390,34524.12903225813,3355,3268,179684
"St. Joseph, MO-KS",4.712202247720472e-4,60,41140,1087,41564.73333333333,2277,2217,127329
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.6719861707868263e-4,2787,37980,31209,39892,77146,74359,5965343
"Rockford, IL",4.20683911845257e-4,147,40420,2497,35505.727272727374,8580,8433,349431
"Memphis, TN-MS-AR",3.947679285402116e-4,523,32820,8211,30650.535714285597,30434,29911,1324829
"Greenville-Anderson-Mauldin, SC",3.870833090647873e-4,319,24860,6118,33897.04545454548,17086,16767,824112
"Little Rock-North Little Rock-Conway, AR",3.7155755497980013e-4,260,30780,3959,33750.33333333327,13993,13733,699757
"Waco, TX",3.2044688493978763e-4,81,47380,1914,33501.99999999999,6046,5965,252772
"Homosassa Springs, FL",3.044549548273811e-4,43,26140,714,28641.571428571417,2586,2543,141236
"Lewiston-Auburn, ME",2.599766021058105e-4,28,30340,634,36607.04761904758,2386,2358,107702
"Bloomington, IN",2.444390124663896e-4,39,14020,551,30345.41379310345,2411,2372,159549
"Portland-South Portland, ME",2.236927589681345e-4,115,38860,2302,37955.33333333332,9230,9115,514098
"Louisville/Jefferson County, KY-IN",1.7156156632473044e-4,212,31140,9108,36418.833333333416,25254,25042,1235708
"Albany-Schenectady-Troy, NY",1.504508932878229e-4,131,10580,5443,41945.142857142746,13563,13432,870716
"Urban Honolulu, HI",1.4897079018513293e-4,142,46520,5138,46284.43181818196,17202,17060,953207
"Erie, PA",1.4256894990839945e-4,40,21500,1990,35923.09433962262,4805,4765,280566
"Salinas, CA",1.0119092076509973e-4,42,41500,3043,36006.851851851854,6237,6195,415057
"Yakima, WA",9.867163313886798e-5,24,49420,1815,34215.5663716814,5451,5427,243231
"Santa Cruz-Watsonville, CA",9.146968923173084e-5,24,42100,1309,36091.54545454548,2922,2898,262382
"Naples-Immokalee-Marco Island, FL",8.397611346105996e-5,27,34940,1806,32557.473684210545,5901,5874,321520
"Pittsfield, MA",7.620847590669034e-5,10,38340,1285,34311.17241379316,1741,1731,131219
"Pittsburgh, PA",5.347400675215435e-5,126,38300,15579,40865.31578947293,34994,34868,2356285
"Oxnard-Thousand Oaks-Ventura, CA",4.0081718121066225e-5,33,37100,4846,40832.04166666841,12470,12437,823318
"Visalia-Porterville, CA",3.618444114261419e-5,16,47300,3155,28911.4081632652,7678,7662,442179
"New Haven-Milford, CT",2.550792658818728e-5,22,35300,4881,35632.69230769228,12825,12803,862477
"Palm Bay-Melbourne-Titusville, FL",-3.6806925591119225e-5,-20,37340,3348,31015.10000000003,10896,10916,543376
"Rochester, NY",-3.890073920666574e-5,-42,40380,8516,36231.774193548306,17848,17890,1079671
"Chattanooga, TN-GA",-4.354881159080022e-5,-23,16860,3447,35968.760563380114,10124,10147,528143
"Miami-Fort Lauderdale-West Palm Beach, FL",-6.0920437728620115e-5,-339,33100,36834,27998.42857142923,113365,113704,5564635
"Provo-Orem, UT",-6.26411799320438e-5,-33,39340,2894,44465.145161290326,8001,8034,526810
"Buffalo-Cheektowaga-Niagara Falls, NY",-6.693033696782677e-5,-76,15380,7516,40505.26666666696,15879,15955,1135509
"Wausau, WI",-6.71326167548093e-5,-9,48140,1509,41790.33333333349,2421,2430,134063
"Monroe, LA",-7.367902018238392e-5,-13,33740,998,28745.666666666668,2352,2365,176441
"Flagstaff, AZ",-8.18324517746483e-5,-11,22380,956,40347.875,2241,2252,134421
"Cleveland-Elyria, OH",-1.0831680499123838e-4,-225,17460,15154,35539,40482,40707,2077240
"St. Louis, MO-IL",-1.2160558108635037e-4,-339,41180,17703,38444,57130,57469,2787701
"Fort Collins, CO",-1.2682308180088776e-4,-38,22660,1620,40292.571428571675,6671,6709,299630
"Santa Fe, NM",-1.5953388360962753e-4,-23,42140,1253,30538.428571428485,1913,1936,144170
"Tucson, AZ",-1.652617715857887e-4,-162,46060,6263,30342.74999999993,27127,27289,980263
"Detroit-Warren-Dearborn, MI",-1.6921734070410243e-4,-727,19820,22539,36885.28205128162,78767,79494,4296250
"Oshkosh-Neenah, WI",-1.7365893385391093e-4,-29,36780,1052,41823.605095541425,2840,2869,166994
"Washington-Arlington-Alexandria, DC-VA-MD-WV",-1.907302609260939e-4,-1075,47900,27816,45891.99999999924,84316,85391,5636232
"New Orleans-Metairie, LA",-1.975012312310798e-4,-235,35380,9073,30819.888888888883,23092,23327,1189866
"Hartford-West Hartford-East Hartford, CT",-2.3342497119304906e-4,-283,25540,7393,42140.06666666621,17755,18038,1212381
"Bloomington, IL",-2.525076155222341e-4,-47,14010,1186,39506.75000000007,2418,2465,186133
"Bridgeport-Stamford-Norwalk, CT",-2.5849967660272527e-4,-237,14860,4430,35543.436619718406,10936,11173,916829
"Jackson, MI",-2.80814737157406e-4,-45,27100,1067,38110.448979591834,3304,3349,160248
"Augusta-Richmond County, GA-SC",-2.921010563436383e-4,-165,12260,3172,32776.51162790697,10336,10501,564873
"Akron, OH",-2.986348122866894e-4,-210,10420,4453,37655.00000000006,9132,9342,703200
"Burlington-South Burlington, VT",-3.076762866785635e-4,-65,15540,983,46061.77777777778,2651,2716,211261
"Milwaukee-Waukesha-West Allis, WI",-3.6248929885314554e-4,-564,33340,7071,36501.31460674163,32611,33175,1555908
"Minneapolis-St. Paul-Bloomington, MN-WI",-3.720670234249934e-4,-1246,33460,16703,45581.50000000023,63898,65144,3348859
"San Francisco-Oakland-Hayward, CA",-3.7643663512702775e-4,-1632,41860,20858,40667.33333333343,52337,53969,4335391
"Jackson, MS",-3.791071409679046e-4,-215,27140,3867,30946,11155,11370,567122
"Joplin, MO",-3.874246516026846e-4,-68,27900,1303,37813.22222222235,3543,3611,175518
"Dover, DE",-3.8814614010227344e-4,-63,20100,1130,38045.88000000011,2903,2966,162310
"Chicago-Naperville-Elgin, IL-IN-WI",-4.002703701100453e-4,-3787,16980,49361,38677,151426,155213,9461105
"Clarksville, TN-KY",-4.3741007194244603e-4,-114,17300,2147,33121.63636363633,9524,9638,260625
"Decatur, AL",-4.550507381573045e-4,-70,19460,1038,36872.000000000226,3192,3262,153829
"Canton-Massillon, OH",-5.291502440520051e-4,-214,15940,3123,36197.87500000023,7307,7521,404422
"Trenton, NJ",-5.29312739247994e-4,-194,45940,1655,38635.43396226404,4212,4406,366513
"Greensboro-High Point, NC",-5.305325635084782e-4,-384,24660,5432,31385.93749999999,14149,14533,723801
"Mobile, AL",-5.811250581125058e-4,-240,33660,2368,33367.89473684202,7563,7803,412992
"Fayetteville, NC",-6.031939254823504e-4,-221,22180,2808,28948.08333333336,10452,10673,366383
"College Station-Bryan, TX",-7.128487711011983e-4,-163,17780,900,30016.421052631576,4312,4475,228660
"New York-Newark-Jersey City, NY-NJ-PA",-7.496648764450686e-4,-14669,35620,99109,36267,191851,206520,19567410
"Daphne-Fairhope-Foley, AL",-7.571393300962884e-4,-138,19300,836,29845.89655172403,2600,2738,182265
"Redding, CA",-7.956077935708119e-4,-141,39820,1316,31635.941176470697,2997,3138,177223
"Springfield, IL",-8.041109577960698e-4,-169,44100,1585,36667.30882352942,4276,4445,210170
"San Jose-Sunnyvale-Santa Clara, CA",-8.182214598312057e-4,-1503,41940,8113,45393.79591836741,18863,20366,1836911
"Los Angeles-Long Beach-Anaheim, CA",-8.563519826465954e-4,-10986,31080,80832,31573,186645,197631,12828837
"Barnstable Town, MA",-9.07878159045431e-4,-196,12700,1419,39316.37254901962,2587,2783,215888
"El Paso, TX",-9.14039270111662e-4,-735,21340,5009,27609.89873417721,15868,16603,804123
"Bangor, ME",-9.16042436802817e-4,-141,12620,1099,37135.857142856745,2892,3033,153923
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",-9.160463882924079e-4,-247,42020,1366,36333.290909090945,3624,3871,269637
"Champaign-Urbana, IL",-9.78908193935944e-4,-227,16580,1157,33015.43750000002,2411,2638,231891
"Roanoke, VA",-9.847525323364874e-4,-304,40220,2165,37118.478260869604,7663,7967,308707
"Ithaca, NY",-0.0010239848765310543,-104,27060,403,35546.37037037037,1293,1397,101564
"Glens Falls, NY",-0.001031623527221675,-133,24020,1303,37394,2292,2425,128923
"Iowa City, IA",-0.0010420353112343204,-159,26980,439,43016.15094339622,1782,1941,152586
"Wenatchee, WA",-0.0010912304750910862,-121,48300,774,37091.50769230769,1576,1697,110884
"Elkhart-Goshen, IN",-0.001093344266776001,-216,21140,1391,39989.4361702128,3832,4048,197559
"San Diego-Carlsbad, CA",-0.0011155576188902382,-3453,41740,16690,35204.52500000039,55042,58495,3095313
"Parkersburg-Vienna, WV",-0.0011438067182458754,-106,37620,760,37810.00000000003,1575,1681,92673
"El Centro, CA",-0.0011459479281261458,-200,20940,960,30372.050632911378,3182,3382,174528
"Lima, OH",-0.0012225973610706191,-130,30620,961,38757.59259259259,2542,2672,106331
"Anniston-Oxford-Jacksonville, AL",-0.0014927638902945046,-177,11500,732,31758.416666666766,2492,2669,118572
"Madera, CA",-0.0015576840221389985,-235,31460,742,31580.716216216224,1738,1973,150865
"Chico, CA",-0.0015681818181818182,-345,17020,1415,29276.695652173938,4335,4680,220000
"Brownsville-Harlingen, TX",-0.001592733001821673,-647,15180,2426,24921.51428571387,5640,6287,406220
"McAllen-Edinburg-Mission, TX",-0.0016740473612134714,-1297,32580,3583,23265.09302325564,10972,12269,774769
"Laredo, TX",-0.001677959601125032,-420,29700,1768,26241.00000000001,3311,3731,250304
"Lancaster, PA",-0.0018712279452107537,-972,29540,3007,42574.37662337663,8061,9033,519445
"Hanford-Corcoran, CA",-0.001902184570733812,-291,25260,958,35349.0975609756,3444,3735,152982
"Florence, SC",-0.0019117947520504363,-393,22500,1468,29176.70731707316,3644,4037,205566
"Las Cruces, NM",-0.002036007704329623,-426,29740,848,23814.537815126056,3770,4196,209233
"Saginaw, MI",-0.0020732481053509786,-415,40980,1382,31236.0833333333,3503,3918,200169
"Blacksburg-Christiansburg-Radford, VA",-0.00210394025931765,-375,13980,862,40752.21052631579,2816,3191,178237
"Shreveport-Bossier City, LA",-0.002212313925754472,-973,43340,2635,29570.365384615394,6900,7873,439811
"Kalamazoo-Portage, MI",-0.002244411171227445,-733,28020,2569,34231.39080459773,7325,8058,326589
"Merced, CA",-0.002279186686109471,-583,32900,1620,30853.714285714315,5244,5827,255793
"Bend-Redmond, OR",-0.0023837751136414065,-376,13460,742,31534.352941176643,3804,4180,157733
"Niles-Benton Harbor, MI",-0.002499792746774821,-392,35660,1212,34148.86666666666,3197,3589,156813
"Springfield, MA",-0.0025371237350579985,-1577,44140,3757,39623.17241379265,8994,10571,621570
"Lawrence, KS",-0.0025806218757331314,-286,29940,320,30960.869565217385,1731,2017,110826
"East Stroudsburg, PA",-0.0026789604455906076,-455,20700,629,38936.634146341465,2050,2505,169842
"Napa, CA",-0.0028281703349843203,-386,34900,1037,41832.8333333333,1860,2246,136484
"Scranton--Wilkes-Barre--Hazleton, PA",-0.0029540603692841593,-1665,42540,3794,37158.27272727454,8258,9923,563631
"Jefferson City, MO",-0.003237498915270982,-485,27620,1164,42302.43749999999,2495,2980,149807
"Racine, WI",-0.003285433554409236,-642,39540,939,42230.89999999998,3055,3697,195408
"Jackson, TN",-0.003945819969079539,-513,27180,830,31442.700000000015,932,1445,130011
"Anchorage, AK",-0.0081508110109474,-3104,11260,2039,47358.000000000124,11762,14866,380821
NA,NA,-372701,0,615378,35685,1282567,1655268,NA
